Fila;NRO_OPERACION;NRO_CUOTA;FEC_PAGO;HORA;MTO_CAPITAL;MTO_INTERES;MTO_INT_DOCUMENTADO;MTO_INT_MORATORIO;MTO_INT_MOR_INTERES;MTO_INT_MOR_ADELANTADO;MTO_INT_PUNITORIO;MTO_CARGO;MTO_IMPUESTO;MTO_GAS_ADMINISTRATIVOS;MTO_HONORARIO;MTO_INT_DESCONTADO;MONTO;DIA_MORA;NRO_CTA_RENOVADA;MTO_INT_MOR_CAL;MTO_INT_MOR_INT_CAL;MTO_INT_MOR_ADE_CAL;MTO_INT_PUN_CAL;MTO_CARGO_CAL;MTO_CAR_IVA_CAL;MTO_IMPUESTO_CAL;SAL_CAPITAL;SAL_INTERES
1;180402-0280;11;11/05/2025;00:00:00;184817;6434;0;7042;0;0;2113;0;0;0;0;0;200406;64;;0;0;0;0;0;0;0;0;0
2;081239-0244;2;11/05/2025;00:00:00;213037;51612;0;5373;0;0;1612;0;0;0;0;0;271634;39;;0;0;0;0;0;0;0;0;0
3;053733-0132;28;11/05/2025;00:00:00;121611;475640;0;19587;0;0;5876;0;0;0;0;0;622714;57;;0;0;0;0;0;0;0;0;0
4;005907-0428;33;11/05/2025;00:00:00;453224;384729;0;43390;0;0;13017;0;0;0;0;0;894360;70;;0;0;0;0;0;0;0;0;0
5;570771-0059;6;11/05/2025;00:00:00;184279;19952;0;4935;0;0;1481;0;0;0;0;0;210647;49;;0;0;0;0;0;0;0;0;0
6;316430-0215;2;11/05/2025;00:00:00;1056215;452252;0;30624;0;0;9187;0;0;0;0;0;1548278;39;;0;0;0;0;0;0;0;0;0
7;208779-0192;10;11/05/2025;00:00:00;324401;17089;0;7662;0;0;2299;0;0;0;0;0;351451;39;;0;0;0;0;0;0;0;0;0
8;358894-0062;14;11/05/2025;00:00:00;505334;38503;0;10460;0;0;3138;0;0;0;0;0;557435;39;;0;0;0;0;0;0;0;0;0
9;188114-0192;3;11/05/2025;00:00:00;137149;25598;0;6086;0;0;1826;0;0;0;0;0;170659;65;;0;0;0;0;0;0;0;0;0
10;629659-0028;16;11/05/2025;00:00:00;312950;142996;0;24184;0;0;7255;0;0;0;0;0;487385;88;;0;0;0;0;0;0;0;0;0
11;629659-0028;17;11/05/2025;00:00:00;318608;137338;0;16489;0;0;4947;0;0;0;0;0;477382;60;;0;0;0;0;0;0;0;0;0
12;211542-0116;4;11/05/2025;00:00:00;540910;436235;0;37105;0;0;11131;0;0;0;0;0;1025381;63;;0;0;0;0;0;0;0;0;0
13;338263-0284;11;11/05/2025;00:00:00;516438;970078;0;37061;0;0;11118;0;0;0;0;0;1534695;39;;0;0;0;0;0;0;0;0;0
