Fila;NRO_OPERACION;NRO_CUOTA;FEC_PAGO;HORA;MTO_CAPITAL;MTO_INTERES;MTO_INT_DOCUMENTADO;MTO_INT_MORATORIO;MTO_INT_MOR_INTERES;MTO_INT_MOR_ADELANTADO;MTO_INT_PUNITORIO;MTO_CARGO;MTO_IMPUESTO;MTO_GAS_ADMINISTRATIVOS;MTO_HONORARIO;MTO_INT_DESCONTADO;MONTO;DIA_MORA;NRO_CTA_RENOVADA;MTO_INT_MOR_CAL;MTO_INT_MOR_INT_CAL;MTO_INT_MOR_ADE_CAL;MTO_INT_PUN_CAL;MTO_CARGO_CAL;MTO_CAR_IVA_CAL;MTO_IMPUESTO_CAL;SAL_CAPITAL;SAL_INTERES
1;116256-0093;10;11/06/2025;00:00:00;800618;389621;0;62219;0;0;18666;0;0;0;0;0;1271124;106;;0;0;0;0;0;0;0;0;0
2;119446-0189;12;11/06/2025;00:00:00;243301;4200;0;3581;0;0;1074;0;0;0;0;0;252156;40;;0;0;0;0;0;0;0;0;0
3;125818-0251;15;11/06/2025;00:00:00;384635;185885;0;66368;0;0;19910;0;0;0;0;0;656798;95;;0;0;0;0;0;0;0;0;0
4;125818-0251;16;11/06/2025;00:00:00;391590;178930;0;0;0;0;0;0;0;0;0;0;570520;64;;0;0;0;0;0;0;0;0;0
5;125818-0251;17;11/06/2025;00:00:00;398671;171849;0;0;0;0;0;0;0;0;0;0;570520;34;;0;0;0;0;0;0;0;0;0
6;204621-0190;18;11/06/2025;00:00:00;699756;582383;0;82619;0;0;24786;0;0;0;0;0;1389544;98;;0;0;0;0;0;0;0;0;0
7;204621-0190;19;11/06/2025;00:00:00;713559;568580;0;56484;0;0;16945;0;0;0;0;0;1355568;67;;0;0;0;0;0;0;0;0;0
8;210178-0273;2;11/06/2025;00:00:00;85032;57140;0;2804;0;0;841;0;0;0;0;0;145817;40;;0;0;0;0;0;0;0;0;0
9;218426-0275;10;11/06/2025;00:00:00;422557;110570;0;24580;0;0;7374;0;0;0;0;0;565081;101;;0;0;0;0;0;0;0;0;0
10;231894-0136;12;11/06/2025;00:00:00;1233246;275221;0;48684;0;0;14605;0;0;0;0;0;1571756;62;;0;0;0;0;0;0;0;0;0
11;238585-0118;7;11/06/2025;00:00:00;215316;46531;0;11765;0;0;3529;0;0;0;0;0;277141;56;;0;0;0;0;0;0;0;0;0
12;254712-0127;13;11/06/2025;00:00:00;319546;31134;0;12778;0;0;3833;0;0;0;0;0;367291;70;;0;0;0;0;0;0;0;0;0
13;266649-0095;11;11/06/2025;00:00:00;1778248;53005;0;36123;0;0;10837;0;0;0;0;0;1878213;40;;0;0;0;0;0;0;0;0;0
14;289374-0084;26;11/06/2025;00:00:00;490656;278293;0;31853;0;0;9556;0;0;0;0;0;810358;63;;0;0;0;0;0;0;0;0;0
15;329311-0037;8;11/06/2025;00:00:00;72122;6442;0;1808;0;0;542;0;0;0;0;0;80914;40;;0;0;0;0;0;0;0;0;0
16;383906-0123;11;11/06/2025;00:00:00;365970;205086;0;27599;0;0;8279;0;0;0;0;0;606934;57;;0;0;0;0;0;0;0;0;0
17;407523-0110;1;11/06/2025;00:00:00;549168;59383;0;48667;0;0;14600;0;0;0;0;0;671818;139;;0;0;0;0;0;0;0;0;0
18;409457-0116;7;11/06/2025;00:00:00;146692;55841;0;11475;0;0;3443;0;0;0;0;0;217451;62;;0;0;0;0;0;0;0;0;0
19;409457-0116;8;11/06/2025;00:00:00;0;32149;0;0;0;0;0;0;0;0;0;0;32149;33;;0;0;0;0;0;0;0;149344;21040
20;441907-0097;7;11/06/2025;00:00:00;55140;0;0;2160;0;0;648;0;0;0;0;0;57948;65;;0;0;0;0;0;0;0;0;0
21;441907-0105;7;11/06/2025;00:00:00;159997;113906;0;10731;0;0;3219;0;0;0;0;0;287853;65;;0;0;0;0;0;0;0;0;0
22;443239-0073;17;11/06/2025;00:00:00;208222;180822;0;17907;0;0;5372;0;0;0;0;0;412323;70;;0;0;0;0;0;0;0;0;0
23;459311-0059;6;11/06/2025;00:00:00;337968;28174;0;13737;0;0;4121;0;0;0;0;0;384000;71;;0;0;0;0;0;0;0;31806;0
24;472819-0114;5;11/06/2025;00:00:00;851870;69582;0;18782;0;0;5635;0;0;0;0;0;945869;62;;0;0;0;0;0;0;0;0;0
25;472819-0114;6;11/06/2025;00:00:00;860272;61180;0;9694;0;0;2908;0;0;0;0;0;934054;32;;0;0;0;0;0;0;0;0;0
26;480308-0079;9;11/06/2025;00:00:00;133434;205390;0;11028;0;0;3308;0;0;0;0;0;353160;54;;0;0;0;0;0;0;0;0;0
27;512425-0055;17;11/06/2025;00:00:00;1569622;46787;0;55800;0;0;16740;0;0;0;0;0;1688949;50;;0;0;0;0;0;0;0;0;0
28;528392-0105;13;11/06/2025;00:00:00;377486;90566;0;11285;0;0;3385;0;0;0;0;0;482722;40;;0;0;0;0;0;0;0;0;0
29;531091-0037;9;11/06/2025;00:00:00;472240;79151;0;17509;0;0;5253;0;0;0;0;0;574153;61;;0;0;0;0;0;0;0;0;0
30;535699-0084;6;11/06/2025;00:00:00;56493;53502;0;3550;0;0;1065;0;0;0;0;0;114610;62;;0;0;0;0;0;0;0;0;0
31;536461-0093;7;11/06/2025;00:00:00;339169;53607;0;11407;0;0;3422;0;0;0;0;0;407605;53;;0;0;0;0;0;0;0;0;0
32;556359-0051;24;11/06/2025;00:00:00;982432;257733;0;46270;0;0;13881;0;0;0;0;0;1300316;70;;0;0;0;0;0;0;0;0;0
33;556359-0051;25;11/06/2025;00:00:00;155348;239968;0;0;0;0;0;0;0;0;0;0;395316;41;;0;0;0;0;0;0;0;844849;0
34;564086-0059;11;11/06/2025;00:00:00;55710;0;0;2351;0;0;705;0;0;0;0;0;58766;70;;0;0;0;0;0;0;0;0;0
35;564086-0060;11;11/06/2025;00:00:00;222377;131982;0;14951;0;0;4485;0;0;0;0;0;373795;70;;0;0;0;0;0;0;0;0;0
36;570771-0059;7;11/06/2025;00:00:00;187005;17226;0;4935;0;0;1481;0;0;0;0;0;210647;49;;0;0;0;0;0;0;0;0;0
37;579567-0031;13;11/06/2025;00:00:00;394362;44767;0;10587;0;0;3176;0;0;0;0;0;452892;40;;0;0;0;0;0;0;0;0;0
38;582200-0011;14;11/06/2025;00:00:00;618580;315536;0;39412;0;0;11824;0;0;0;0;0;985352;70;;0;0;0;0;0;0;0;0;0
39;589935-0044;16;11/06/2025;00:00:00;459335;21857;0;10019;0;0;3006;0;0;0;0;0;494217;40;;0;0;0;0;0;0;0;0;0
40;596704-0028;18;11/06/2025;00:00:00;151909;18366;0;9423;0;0;2827;0;0;0;0;0;182525;101;;0;0;0;0;0;0;0;0;0
41;600663-0046;12;11/06/2025;00:00:00;1162672;133209;0;54640;0;0;16392;0;0;0;0;0;1366913;81;;0;0;0;0;0;0;0;0;0
42;618754-0040;19;11/06/2025;00:00:00;308222;219431;0;26397;0;0;7919;0;0;0;0;0;561969;83;;0;0;0;0;0;0;0;0;0
43;621390-0044;8;11/06/2025;00:00:00;194942;8780;0;4019;0;0;1206;0;0;0;0;0;208947;40;;0;0;0;0;0;0;0;0;0
44;636525-0022;14;11/06/2025;00:00:00;301686;59263;0;1780;0;0;534;0;0;0;0;0;363263;40;;0;0;0;0;0;0;0;0;0
45;639425-0022;2;11/06/2025;00:00:00;74762;0;0;1802;0;0;541;0;0;0;0;0;77105;40;;0;0;0;0;0;0;0;0;0
46;639425-0033;2;11/06/2025;00:00:00;179666;44683;0;3934;0;0;1180;0;0;0;0;0;229463;40;;0;0;0;0;0;0;0;0;0
47;641299-0028;7;11/06/2025;00:00:00;471038;43390;0;17758;0;0;5328;0;0;0;0;0;537514;70;;0;0;0;0;0;0;0;0;0
48;654987-0020;8;11/06/2025;00:00:00;548742;41810;0;18930;0;0;5679;0;0;0;0;0;615161;65;;0;0;0;0;0;0;0;0;0
49;672349-0017;5;11/06/2025;00:00:00;279824;56162;0;5307;0;0;1592;0;0;0;0;0;342885;40;;0;0;0;0;0;0;0;0;0
50;674756-0015;2;11/06/2025;00:00:00;434297;653409;0;50064;0;0;15019;0;0;0;0;0;1152789;70;;0;0;0;0;0;0;0;0;0
