Fila;NRO_OPERACION;NRO_CUOTA;FEC_PAGO;HORA;MTO_CAPITAL;MTO_INTERES;MTO_INT_DOCUMENTADO;MTO_INT_MORATORIO;MTO_INT_MOR_INTERES;MTO_INT_MOR_ADELANTADO;MTO_INT_PUNITORIO;MTO_CARGO;MTO_IMPUESTO;MTO_GAS_ADMINISTRATIVOS;MTO_HONORARIO;MTO_INT_DESCONTADO;MONTO;DIA_MORA;NRO_CTA_RENOVADA;MTO_INT_MOR_CAL;MTO_INT_MOR_INT_CAL;MTO_INT_MOR_ADE_CAL;MTO_INT_PUN_CAL;MTO_CARGO_CAL;MTO_CAR_IVA_CAL;MTO_IMPUESTO_CAL;SAL_CAPITAL;SAL_INTERES
1;156463-0336;18;11/08/2025;00:00:00;451246;2874050;0;54662;0;0;16399;0;0;0;0;0;3396357;40;;0;0;0;0;0;0;0;0;0
2;068140-0516;3;11/08/2025;00:00:00;0;361152;0;99114;0;0;29734;0;0;0;0;0;490000;47;;0;0;0;0;0;0;0;496099;3253717
3;068140-0505;3;11/08/2025;00:00:00;248862;0;0;6000;0;0;1800;0;0;0;0;0;256662;40;;0;0;0;0;0;0;0;0;0
4;206027-0075;8;11/08/2025;00:00:00;668764;124284;0;26008;0;0;7802;0;0;0;0;0;826858;63;;0;0;0;0;0;0;0;0;0
5;206641-0112;19;11/08/2025;00:00:00;147717;165834;0;7560;0;0;2268;0;0;0;0;0;323379;40;;0;0;0;0;0;0;0;0;0
6;433429-0114;11;11/08/2025;00:00:00;404021;103599;0;15020;0;0;4506;0;0;0;0;0;527146;54;;0;0;0;0;0;0;0;0;0
7;466696-0082;6;11/08/2025;00:00:00;164506;33723;0;2607;0;0;782;0;0;0;0;0;201618;40;;0;0;0;0;0;0;0;0;0
8;206652-0194;19;11/08/2025;00:00:00;463387;520222;0;23714;0;0;7114;0;0;0;0;0;1014437;40;;0;0;0;0;0;0;0;0;0
9;003114-0705;10;11/08/2025;00:00:00;310745;16370;0;7528;0;0;2258;0;0;0;0;0;336901;40;;0;0;0;0;0;0;0;0;0
10;206652-0183;19;11/08/2025;00:00:00;72023;0;0;1736;0;0;521;0;0;0;0;0;74280;40;;0;0;0;0;0;0;0;0;0
11;319125-0088;5;11/08/2025;00:00:00;466607;990937;0;48918;0;0;14675;0;0;0;0;0;1521137;40;;0;0;0;0;0;0;0;0;0
12;475935-0033;6;11/08/2025;00:00:00;570568;195331;0;22725;0;0;6818;0;0;0;0;0;795442;57;;0;0;0;0;0;0;0;0;0
13;666836-0015;9;11/08/2025;00:00:00;716769;213644;0;27530;0;0;8259;0;0;0;0;0;966202;54;;0;0;0;0;0;0;0;0;0
14;637331-0048;3;11/08/2025;00:00:00;88390;0;0;2239;0;0;672;0;0;0;0;0;91301;47;;0;0;0;0;0;0;0;4471;0
15;637331-0059;3;11/08/2025;00:00:00;305823;56614;0;6355;0;0;1907;0;0;0;0;0;370699;40;;0;0;0;0;0;0;0;0;0
16;640858-0013;19;11/08/2025;00:00:00;984008;101129;0;34487;0;0;10346;0;0;0;0;0;1129970;58;;0;0;0;0;0;0;0;0;0
17;406331-0060;39;11/08/2025;00:00:00;123430;209599;0;9388;0;0;2816;0;0;0;0;0;345233;40;;0;0;0;0;0;0;0;0;0
18;598371-0026;2;11/08/2025;00:00:00;204431;35842;0;4740;0;0;1422;0;0;0;0;0;246435;40;;0;0;0;0;0;0;0;0;0
19;617250-0033;14;11/08/2025;00:00:00;826652;66594;0;73467;0;0;22040;0;0;0;0;0;988753;63;;0;0;0;0;0;0;0;0;0
20;617250-0033;15;11/08/2025;00:00:00;839561;53685;0;0;0;0;0;0;0;0;0;0;893246;33;;0;0;0;0;0;0;0;0;0
21;658132-0020;9;11/08/2025;00:00:00;275885;14801;0;8920;0;0;2676;0;0;0;0;0;302282;70;;0;0;0;0;0;0;0;0;0
22;667880-0011;8;11/08/2025;00:00:00;155814;2050;0;4290;0;0;1287;0;0;0;0;0;163441;62;;0;0;0;0;0;0;0;0;0
23;247244-0125;5;11/08/2025;00:00:00;144924;21262;0;9657;0;0;2897;0;0;0;0;0;178740;101;;0;0;0;0;0;0;0;0;0
24;641233-0024;10;11/08/2025;00:00:00;526154;145783;0;30559;0;0;9168;0;0;0;0;0;711664;83;;0;0;0;0;0;0;0;0;0
25;638567-0020;5;11/08/2025;00:00:00;685710;85487;0;69218;0;0;20765;0;0;0;0;0;861180;182;;0;0;0;0;0;0;0;0;0
26;589418-0057;13;11/08/2025;00:00:00;1056988;216007;0;86808;0;0;26042;0;0;0;0;0;1385845;131;;0;0;0;0;0;0;0;0;0
27;640278-0024;19;11/08/2025;00:00:00;2342357;533968;0;115841;0;0;34752;0;0;0;0;0;3026918;70;;0;0;0;0;0;0;0;0;0
28;593031-0026;14;11/08/2025;00:00:00;239588;19301;0;5391;0;0;1617;0;0;0;0;0;265897;40;;0;0;0;0;0;0;0;0;0
29;578933-0046;25;11/08/2025;00:00:00;1555228;373132;0;46492;0;0;13948;0;0;0;0;0;1988800;40;;0;0;0;0;0;0;0;0;0
30;636525-0022;16;11/08/2025;00:00:00;302767;49263;0;6131;0;0;1839;0;0;0;0;0;360000;47;;0;0;0;0;0;0;0;8919;0
31;479696-0093;18;11/08/2025;00:00:00;1082451;439085;0;55943;0;0;16783;0;0;0;0;0;1594262;61;;0;0;0;0;0;0;0;0;0
32;434086-0156;26;11/08/2025;00:00:00;509538;111028;0;33290;0;0;9987;0;0;0;0;0;663843;89;;0;0;0;0;0;0;0;0;0
33;191062-0105;6;11/08/2025;00:00:00;535057;119408;0;20441;0;0;6132;0;0;0;0;0;681038;60;;0;0;0;0;0;0;0;0;0
34;147737-0161;11;11/08/2025;00:00:00;2667372;79508;0;136817;0;0;41045;0;0;0;0;0;2924742;101;;0;0;0;0;0;0;0;0;0
35;571941-0059;4;11/08/2025;00:00:00;344535;132507;0;25081;0;0;7524;0;0;0;0;0;509647;101;;0;0;0;0;0;0;0;0;0
36;145944-0307;10;11/08/2025;00:00:00;305882;0;0;53168;0;0;15950;0;0;0;0;0;375000;99;;0;0;0;0;0;0;0;505412;0
37;470855-0088;16;11/08/2025;00:00:00;287697;12958;0;12306;0;0;3692;0;0;0;0;0;316653;83;;0;0;0;0;0;0;0;0;0
38;458389-0158;4;11/08/2025;00:00:00;185888;1034368;0;44865;0;0;13460;0;0;0;0;0;1278581;61;;0;0;0;0;0;0;0;0;0
39;026474-0374;7;11/08/2025;00:00:00;289297;59121;0;5804;0;0;1741;0;0;0;0;0;355963;32;;0;0;0;0;0;0;0;0;0
40;363074-0073;22;11/08/2025;00:00:00;185454;57195;0;5850;0;0;1755;0;0;0;0;0;250254;40;;0;0;0;0;0;0;0;0;0
41;332742-0127;16;11/08/2025;00:00:00;643158;32241;0;44780;0;0;13434;0;0;0;0;0;733613;121;;0;0;0;0;0;0;0;0;0
42;543489-0028;52;11/08/2025;00:00:00;514805;121572;0;33371;0;0;10011;0;0;0;0;0;679759;66;;0;0;0;0;0;0;0;0;0
43;540299-0040;5;11/08/2025;00:00:00;312907;664522;0;40838;0;0;12251;0;0;0;0;0;1030518;64;;0;0;0;0;0;0;0;0;0
44;246999-0040;36;11/08/2025;00:00:00;433898;7826;0;13845;0;0;4153;0;0;0;0;0;459722;52;;0;0;0;0;0;0;0;0;0
45;238057-0138;11;11/08/2025;00:00:00;132917;0;0;6649;0;0;1995;0;0;0;0;0;141561;83;;0;0;0;0;0;0;0;0;0
46;238057-0149;11;11/08/2025;00:00:00;586339;167205;0;37698;0;0;11309;0;0;0;0;0;802551;83;;0;0;0;0;0;0;0;0;0
47;425792-0116;11;11/08/2025;00:00:00;176495;6145;0;4203;0;0;1261;0;0;0;0;0;188104;40;;0;0;0;0;0;0;0;0;0
48;363803-0080;7;11/08/2025;00:00:00;187747;20301;0;4788;0;0;1436;0;0;0;0;0;214272;40;;0;0;0;0;0;0;0;0;0
49;379253-0110;20;11/08/2025;00:00:00;369331;281454;0;26103;0;0;7831;0;0;0;0;0;684719;61;;0;0;0;0;0;0;0;0;0
50;356164-0170;6;11/08/2025;00:00:00;761109;532614;0;52103;0;0;15631;0;0;0;0;0;1361457;70;;0;0;0;0;0;0;0;0;0
51;356164-0181;4;11/08/2025;00:00:00;287389;79627;0;22121;0;0;6636;0;0;0;0;0;395773;70;;0;0;0;0;0;0;0;0;0
52;356164-0181;5;11/08/2025;00:00:00;292113;74903;0;0;0;0;0;0;0;0;0;0;367016;40;;0;0;0;0;0;0;0;0;0
53;448579-0103;8;11/08/2025;00:00:00;0;323818;0;13686;0;0;4106;0;0;0;0;0;341610;39;;0;0;0;0;0;0;0;586807;76104
54;678990-0011;2;11/08/2025;00:00:00;319020;16045;0;4406;0;0;1322;0;0;0;0;0;340793;40;;0;0;0;0;0;0;0;0;0
55;650798-0024;12;11/08/2025;00:00:00;353854;22627;0;7251;0;0;2175;0;0;0;0;0;385907;37;;0;0;0;0;0;0;0;0;0
