Fila;NRO_OPERACION;NRO_CUOTA;FEC_PAGO;HORA;MTO_CAPITAL;MTO_INTERES;MTO_INT_DOCUMENTADO;MTO_INT_MORATORIO;MTO_INT_MOR_INTERES;MTO_INT_MOR_ADELANTADO;MTO_INT_PUNITORIO;MTO_CARGO;MTO_IMPUESTO;MTO_GAS_ADMINISTRATIVOS;MTO_HONORARIO;MTO_INT_DESCONTADO;MONTO;DIA_MORA;NRO_CTA_RENOVADA;MTO_INT_MOR_CAL;MTO_INT_MOR_INT_CAL;MTO_INT_MOR_ADE_CAL;MTO_INT_PUN_CAL;MTO_CARGO_CAL;MTO_CAR_IVA_CAL;MTO_IMPUESTO_CAL;SAL_CAPITAL;SAL_INTERES
1;530898-0035;12;11/02/2026;00:00:00;115656;947;0;2268;0;0;680;0;0;0;0;0;119551;71;;0;0;0;0;0;0;0;0;0
2;133772-0149;12;11/02/2026;00:00:00;1486674;793761;0;102338;0;0;30702;0;0;0;0;0;2413475;78;;0;0;0;0;0;0;0;0;0
3;141391-0338;26;11/02/2026;00:00:00;1557905;339465;0;45745;0;0;13723;0;0;0;0;0;1956838;40;;0;0;0;0;0;0;0;0;0
4;180769-0095;12;11/02/2026;00:00:00;285292;4916;0;10519;0;0;3156;0;0;0;0;0;303883;63;;0;0;0;0;0;0;0;0;0
5;556359-0051;32;11/02/2026;00:00:00;844222;106290;0;18094;0;0;5428;0;0;0;0;0;974034;72;;0;0;0;0;0;0;0;289653;0
6;434086-0156;32;11/02/2026;00:00:00;567380;53186;0;33290;0;0;9987;0;0;0;0;0;663843;89;;0;0;0;0;0;0;0;0;0
7;195659-0158;3;11/02/2026;00:00:00;2708540;901933;0;77551;0;0;23265;0;0;0;0;0;3711289;49;;0;0;0;0;0;0;0;0;0
8;338917-0064;18;11/02/2026;00:00:00;463375;56022;0;16222;0;0;4867;0;0;0;0;0;540486;57;;0;0;0;0;0;0;0;0;0
9;115547-0194;2;11/02/2026;00:00:00;590269;103490;0;32502;0;0;9751;0;0;0;0;0;736012;95;;0;0;0;0;0;0;0;0;0
10;239584-0114;5;11/02/2026;00:00:00;76119;11168;0;3566;0;0;1070;0;0;0;0;0;91923;71;;0;0;0;0;0;0;0;0;0
11;408287-0075;14;11/02/2026;00:00:00;223607;18013;0;8553;0;0;2566;0;0;0;0;0;252739;68;;0;0;0;0;0;0;0;0;0
12;428692-0031;6;11/02/2026;00:00:00;275073;4749;0;11431;0;0;3429;0;0;0;0;0;294682;71;;0;0;0;0;0;0;0;0;0
13;528789-0114;8;11/02/2026;00:00:00;961837;307214;0;100829;0;0;30249;0;0;0;0;0;1400129;145;;0;0;0;0;0;0;0;0;0
14;228775-0215;3;11/02/2026;00:00:00;396761;111637;0;12968;0;0;3891;0;0;0;0;0;525257;40;;0;0;0;0;0;0;0;0;0
15;500974-0051;9;11/02/2026;00:00:00;529186;32018;0;11070;0;0;3321;0;0;0;0;0;575595;40;;0;0;0;0;0;0;0;0;0
16;647840-0044;4;11/02/2026;00:00:00;512037;72355;0;15562;0;0;4669;0;0;0;0;0;604623;54;;0;0;0;0;0;0;0;0;0
17;426627-0116;15;11/02/2026;00:00:00;787737;701328;0;54422;0;0;16327;0;0;0;0;0;1559814;58;;0;0;0;0;0;0;0;0;0
18;453328-0080;10;11/02/2026;00:00:00;720159;70167;0;94762;0;0;28428;0;0;0;0;0;913516;154;;0;0;0;0;0;0;0;0;0
19;453328-0080;11;11/02/2026;00:00:00;731405;58921;0;0;0;0;0;0;0;0;0;0;790326;124;;0;0;0;0;0;0;0;0;0
20;453328-0080;12;11/02/2026;00:00:00;123744;47499;0;0;0;0;0;0;0;0;0;0;171243;94;;0;0;0;0;0;0;0;619083;0
21;524556-0060;5;11/02/2026;00:00:00;1029770;264053;0;40410;0;0;12123;0;0;0;0;0;1346356;57;;0;0;0;0;0;0;0;0;0
22;674422-0020;5;11/02/2026;00:00:00;759987;293009;0;28272;0;0;8482;0;0;0;0;0;1089750;40;;0;0;0;0;0;0;0;0;0
23;678031-0015;5;11/02/2026;00:00:00;2116737;263892;0;46960;0;0;14088;0;0;0;0;0;2441677;40;;0;0;0;0;0;0;0;0;0
24;683879-0017;3;11/02/2026;00:00:00;298104;47158;0;26562;0;0;7968;0;0;0;0;0;379792;93;;0;0;0;0;0;0;0;0;0
25;683879-0017;4;11/02/2026;00:00:00;302515;42747;0;0;0;0;0;0;0;0;0;0;345262;63;;0;0;0;0;0;0;0;0;0
26;616574-0051;9;11/02/2026;00:00:00;330819;20015;0;13495;0;0;4049;0;0;0;0;0;368378;78;;0;0;0;0;0;0;0;0;0
