Fila;NRO_OPERACION;NRO_CUOTA;FEC_PAGO;HORA;MTO_CAPITAL;MTO_INTERES;MTO_INT_DOCUMENTADO;MTO_INT_MORATORIO;MTO_INT_MOR_INTERES;MTO_INT_MOR_ADELANTADO;MTO_INT_PUNITORIO;MTO_CARGO;MTO_IMPUESTO;MTO_GAS_ADMINISTRATIVOS;MTO_HONORARIO;MTO_INT_DESCONTADO;MONTO;DIA_MORA;NRO_CTA_RENOVADA;MTO_INT_MOR_CAL;MTO_INT_MOR_INT_CAL;MTO_INT_MOR_ADE_CAL;MTO_INT_PUN_CAL;MTO_CARGO_CAL;MTO_CAR_IVA_CAL;MTO_IMPUESTO_CAL;SAL_CAPITAL;SAL_INTERES
1;351716-0060;10;11/04/2025;00:00:00;374835;14983;0;7690;0;0;2307;0;0;0;0;0;399815;45;;0;0;0;0;0;0;0;0;0
2;200186-0220;8;11/04/2025;00:00:00;372429;28376;0;9883;0;0;2965;0;0;0;0;0;413653;50;;0;0;0;0;0;0;0;0;0
3;125971-0316;56;11/04/2025;00:00:00;449286;34233;0;39978;0;0;11994;0;0;0;0;0;535491;107;;0;0;0;0;0;0;0;0;0
4;125971-0316;57;11/04/2025;00:00:00;455933;27586;0;0;0;0;0;0;0;0;0;0;483519;76;;0;0;0;0;0;0;0;0;0
5;125971-0316;58;11/04/2025;00:00:00;27211;20840;0;10730;0;0;3219;0;0;0;0;0;62000;46;;0;0;0;0;0;0;0;435468;0
6;562323-0046;12;11/04/2025;00:00:00;255701;596594;0;82850;0;0;24855;0;0;0;0;0;960000;68;;0;0;0;0;0;0;0;1296981;0
7;563076-0060;20;11/04/2025;00:00:00;477228;44735;0;16045;0;0;4813;0;0;0;0;0;542821;51;;0;0;0;0;0;0;0;0;0
8;427886-0048;8;11/04/2025;00:00:00;1370789;880862;0;66069;0;0;19821;0;0;0;0;0;2337541;51;;0;0;0;0;0;0;0;0;0
9;150685-0088;44;11/04/2025;00:00:00;856113;404308;0;44477;0;0;13343;0;0;0;0;0;1318241;46;;0;0;0;0;0;0;0;0;0
10;377114-0200;8;11/04/2025;00:00:00;270497;1778882;0;104492;0;0;31347;0;0;0;0;0;2185218;99;;0;0;0;0;0;0;0;0;0
11;377114-0200;9;11/04/2025;00:00:00;0;0;0;74801;0;0;25199;0;0;0;0;0;100000;69;;0;0;0;0;0;0;0;275388;1773991
12;377114-0192;9;11/04/2025;00:00:00;171106;0;0;7013;0;0;2104;0;0;0;0;0;180223;68;;0;0;0;0;0;0;0;0;0
13;382361-0134;30;11/04/2025;00:00:00;155944;109126;0;6100;0;0;1830;0;0;0;0;0;273000;40;;0;0;0;0;0;0;0;0;0
14;382361-0123;30;11/04/2025;00:00:00;53138;0;0;1223;0;0;367;0;0;0;0;0;54728;40;;0;0;0;0;0;0;0;0;0
15;481233-0109;20;11/04/2025;00:00:00;944646;76100;0;29224;0;0;8767;0;0;0;0;0;1058737;55;;0;0;0;0;0;0;0;0;0
16;192641-0093;36;11/04/2025;00:00:00;1552951;30648;0;66641;0;0;19992;0;0;0;0;0;1670232;64;;0;0;0;0;0;0;0;0;0
17;435955-0077;4;11/04/2025;00:00:00;1962301;175743;0;35146;0;0;10544;0;0;0;0;0;2183734;40;;0;0;0;0;0;0;0;0;0
18;522495-0066;11;11/04/2025;00:00:00;342591;45214;0;7065;0;0;2120;0;0;0;0;0;396990;35;;0;0;0;0;0;0;0;0;0
19;632411-0037;14;11/04/2025;00:00:00;439677;748105;0;65995;0;0;19799;0;0;0;0;0;1273576;78;;0;0;0;0;0;0;0;0;0
20;602359-0040;10;11/04/2025;00:00:00;351669;218851;0;18225;0;0;5468;0;0;0;0;0;594213;53;;0;0;0;0;0;0;0;0;0
21;586927-0019;22;11/04/2025;00:00:00;430505;299008;0;51805;0;0;15541;0;0;0;0;0;796859;68;;0;0;0;0;0;0;0;0;0
22;586927-0019;23;11/04/2025;00:00:00;438997;290516;0;0;0;0;0;0;0;0;0;0;729513;40;;0;0;0;0;0;0;0;0;0
23;400928-0154;10;11/04/2025;00:00:00;967356;189861;0;47430;0;0;14229;0;0;0;0;0;1218876;68;;0;0;0;0;0;0;0;0;0
24;400928-0143;10;11/04/2025;00:00:00;159705;0;0;6546;0;0;1964;0;0;0;0;0;168215;68;;0;0;0;0;0;0;0;0;0
25;636525-0022;11;11/04/2025;00:00:00;287284;73665;0;8216;0;0;2465;0;0;0;0;0;371630;68;;0;0;0;0;0;0;0;0;0
26;636525-0022;12;11/04/2025;00:00:00;267254;68942;0;0;0;0;0;0;0;0;0;0;336196;41;;0;0;0;0;0;0;0;24753;0
27;548837-0097;2;11/04/2025;00:00:00;189652;16942;0;9628;0;0;2888;0;0;0;0;0;219110;81;;0;0;0;0;0;0;0;0;0
28;633294-0039;3;11/04/2025;00:00:00;576686;162263;0;64238;0;0;19271;0;0;0;0;0;822458;99;;0;0;0;0;0;0;0;0;0
29;633294-0039;4;11/04/2025;00:00:00;0;127542;0;0;0;0;0;0;0;0;0;0;127542;69;;0;0;0;0;0;0;0;585692;25715
30;660218-0013;4;11/04/2025;00:00:00;97990;9384;0;2353;0;0;706;0;0;0;0;0;110433;50;;0;0;0;0;0;0;0;0;0
31;643435-0033;3;11/04/2025;00:00:00;182611;74180;0;9090;0;0;2727;0;0;0;0;0;268608;68;;0;0;0;0;0;0;0;0;0
